brand_name,generic_name,manufacturer,source
Acofide,Acotiamide hydrochloride,Zeria/Abbott,FDA-TH
Air-X,Simethicone,,TMT-NHSO
Tumax,Aluminium hydroxide + Magnesium hydroxide,,TMT-NHSO
Maalox,Aluminium hydroxide + Magnesium hydroxide,Sanofi,TMT-NHSO
Mylanta,Aluminium hydroxide + Magnesium hydroxide + Simethicone,Johnson & Johnson,TMT-NHSO
Dormicum,Midazolam hydrochloride,Roche,TMT-NHSO
Versed,Midazolam hydrochloride,,TMT-NHSO
Demerol,Pethidine hydrochloride,,TMT-NHSO
Losec,Omeprazole,AstraZeneca,TMT-NHSO
Miracid,Omeprazole,,TMT-NHSO
Omed,Omeprazole,,TMT-NHSO
Nexium,Esomeprazole,AstraZeneca,TMT-NHSO
Pariet,Rabeprazole,Eisai,TMT-NHSO
Takepron,Lansoprazole,Takeda,TMT-NHSO
Prevacid,Lansoprazole,Takeda,TMT-NHSO
Pantoloc,Pantoprazole,Takeda,TMT-NHSO
Controloc,Pantoprazole,Takeda,TMT-NHSO
Panzo,Pantoprazole,,TMT-NHSO
Vocinti,Vonoprazan,,FDA-TH
Augmentin,Amoxicillin trihydrate + Clavulanic acid,GSK,TMT-NHSO
Clavulin,Amoxicillin trihydrate + Clavulanic acid,,TMT-NHSO
Amoxy,Amoxicillin trihydrate,,TMT-NHSO
Amoxil,Amoxicillin trihydrate,GSK,TMT-NHSO
Moxin,Amoxicillin trihydrate,,TMT-NHSO
Penamox,Amoxicillin trihydrate,,TMT-NHSO
Cloxacap,Cloxacillin sodium,,TMT-NHSO
Orbenin,Cloxacillin sodium,GSK,TMT-NHSO
Diclocil,Dicloxacillin sodium,,TMT-NHSO
Unasyn,Ampicillin sodium + Sulbactam sodium,Pfizer,TMT-NHSO
Tazocin,Piperacillin sodium + Tazobactam sodium,Pfizer,TMT-NHSO
Zosyn,Piperacillin sodium + Tazobactam sodium,,TMT-NHSO
Zinnat,Cefuroxime axetil,GSK,TMT-NHSO
Ceftin,Cefuroxime axetil,,TMT-NHSO
Suprax,Cefixime,,TMT-NHSO
Omnicef,Cefdinir,,TMT-NHSO
Rocephin,Ceftriaxone sodium,Roche,TMT-NHSO
Fortum,Ceftazidime,GSK,TMT-NHSO
Ceftaz,Ceftazidime,,TMT-NHSO
Maxipime,Cefepime,Pfizer,TMT-NHSO
Keflex,Cephalexin,,TMT-NHSO
Sporacef,Cephalexin,,TMT-NHSO
Meronem,Meropenem,AstraZeneca,TMT-NHSO
Tienam,Imipenem + Cilastatin,MSD,TMT-NHSO
Invanz,Ertapenem,MSD,TMT-NHSO
Zithromax,Azithromycin,Pfizer,TMT-NHSO
Klacid,Clarithromycin,Abbott,TMT-NHSO
Biaxin,Clarithromycin,,TMT-NHSO
Erythrocin,Erythromycin,,TMT-NHSO
Eryc,Erythromycin,,TMT-NHSO
Roxithromycin,Roxithromycin,,TMT-NHSO
Rulid,Roxithromycin,Sanofi,TMT-NHSO
Ciprobay,Ciprofloxacin,Bayer,TMT-NHSO
Ciproxin,Ciprofloxacin,,TMT-NHSO
Ciplox,Ciprofloxacin,,TMT-NHSO
Tavanic,Levofloxacin,Sanofi,TMT-NHSO
Levaquin,Levofloxacin,,TMT-NHSO
Cravit,Levofloxacin,Daiichi Sankyo,TMT-NHSO
Avelox,Moxifloxacin,Bayer,TMT-NHSO
Vigamox,Moxifloxacin,Novartis,TMT-NHSO
Oflox,Ofloxacin,,TMT-NHSO
Tarivid,Ofloxacin,Sanofi,TMT-NHSO
Norflox,Norfloxacin,,TMT-NHSO
Bactrim,Sulfamethoxazole + Trimethoprim,Roche,TMT-NHSO
Septrin,Sulfamethoxazole + Trimethoprim,GSK,TMT-NHSO
Co-trimoxazole,Sulfamethoxazole + Trimethoprim,,TMT-NHSO
Flagyl,Metronidazole,Sanofi,TMT-NHSO
Fasigyn,Tinidazole,Pfizer,TMT-NHSO
Vancocin,Vancomycin hydrochloride,,TMT-NHSO
Linezolid,Linezolid,,TMT-NHSO
Zyvox,Linezolid,Pfizer,TMT-NHSO
Doxycap,Doxycycline,,TMT-NHSO
Vibramycin,Doxycycline,Pfizer,TMT-NHSO
Tetracap,Tetracycline,,TMT-NHSO
Myambutol,Ethambutol hydrochloride,,TMT-NHSO
Rifadin,Rifampicin,Sanofi,TMT-NHSO
Rimactane,Rifampicin,,TMT-NHSO
Pyrazinamide,Pyrazinamide,,TMT-NHSO
INH,Isoniazid,,TMT-NHSO
Rifinah,Rifampicin + Isoniazid,,TMT-NHSO
Diflucan,Fluconazole,Pfizer,TMT-NHSO
Forcan,Fluconazole,,TMT-NHSO
Sporanox,Itraconazole,Johnson & Johnson,TMT-NHSO
Lamisil,Terbinafine,Novartis,TMT-NHSO
Vfend,Voriconazole,Pfizer,TMT-NHSO
Noxafil,Posaconazole,MSD,TMT-NHSO
Zovirax,Acyclovir,GSK,TMT-NHSO
Valtrex,Valacyclovir,GSK,TMT-NHSO
Tamiflu,Oseltamivir,Roche,TMT-NHSO
GPO-A-Flu,Oseltamivir,GPO,TMT-NHSO
Tylenol,Paracetamol,Johnson & Johnson,TMT-NHSO
Sara,Paracetamol,,TMT-NHSO
Calpol,Paracetamol,GSK,TMT-NHSO
Tempra,Paracetamol,,TMT-NHSO
Panadol,Paracetamol,GSK,TMT-NHSO
Brufen,Ibuprofen,Abbott,TMT-NHSO
Nurofen,Ibuprofen,,TMT-NHSO
Voltaren,Diclofenac sodium,Novartis,TMT-NHSO
Cataflam,Diclofenac potassium,Novartis,TMT-NHSO
Diclofenac,Diclofenac sodium,,TMT-NHSO
Mobic,Meloxicam,Boehringer Ingelheim,TMT-NHSO
Arcoxia,Etoricoxib,MSD,TMT-NHSO
Celebrex,Celecoxib,Pfizer,TMT-NHSO
Naproxen,Naproxen,,TMT-NHSO
Ponstan,Mefenamic acid,,TMT-NHSO
Synflex,Naproxen,,TMT-NHSO
Toradol,Ketorolac tromethamine,Roche,TMT-NHSO
Ultracet,Tramadol hydrochloride + Paracetamol,,TMT-NHSO
Tramadol,Tramadol hydrochloride,,TMT-NHSO
Tramal,Tramadol hydrochloride,,TMT-NHSO
MST Continus,Morphine sulfate,,TMT-NHSO
MS Contin,Morphine sulfate,,TMT-NHSO
Fentanyl,Fentanyl,,TMT-NHSO
Durogesic,Fentanyl,Johnson & Johnson,TMT-NHSO
Codeine,Codeine phosphate,,TMT-NHSO
Norvasc,Amlodipine besilate,Pfizer,TMT-NHSO
Ambes,Amlodipine besilate,,TMT-NHSO
Amlovas,Amlodipine besilate,,TMT-NHSO
Adalat,Nifedipine,Bayer,TMT-NHSO
Plendil,Felodipine,AstraZeneca,TMT-NHSO
Herbesser,Diltiazem hydrochloride,,TMT-NHSO
Cardizem,Diltiazem hydrochloride,,TMT-NHSO
Isoptin,Verapamil hydrochloride,,TMT-NHSO
Enalapril,Enalapril maleate,,TMT-NHSO
Renitec,Enalapril maleate,MSD,TMT-NHSO
Vasotec,Enalapril maleate,,TMT-NHSO
Tritace,Ramipril,Sanofi,TMT-NHSO
Ramipril,Ramipril,,TMT-NHSO
Accupril,Quinapril,,TMT-NHSO
Captopril,Captopril,,TMT-NHSO
Capoten,Captopril,,TMT-NHSO
Lisinopril,Lisinopril,,TMT-NHSO
Zestril,Lisinopril,,TMT-NHSO
Perindopril,Perindopril,,TMT-NHSO
Coversyl,Perindopril,Servier,TMT-NHSO
Cozaar,Losartan potassium,MSD,TMT-NHSO
Losartan,Losartan potassium,,TMT-NHSO
Diovan,Valsartan,Novartis,TMT-NHSO
Valsartan,Valsartan,,TMT-NHSO
Atacand,Candesartan,AstraZeneca,TMT-NHSO
Micardis,Telmisartan,Boehringer Ingelheim,TMT-NHSO
Aprovel,Irbesartan,Sanofi,TMT-NHSO
Avapro,Irbesartan,,TMT-NHSO
Entresto,Sacubitril + Valsartan,Novartis,TMT-NHSO
Atenolol,Atenolol,,TMT-NHSO
Tenormin,Atenolol,AstraZeneca,TMT-NHSO
Betaloc,Metoprolol succinate,AstraZeneca,TMT-NHSO
Lopressor,Metoprolol tartrate,,TMT-NHSO
Concor,Bisoprolol fumarate,Merck,TMT-NHSO
Bisoprolol,Bisoprolol fumarate,,TMT-NHSO
Carvedilol,Carvedilol,,TMT-NHSO
Dilatrend,Carvedilol,Roche,TMT-NHSO
Coreg,Carvedilol,,TMT-NHSO
Inderal,Propranolol hydrochloride,,TMT-NHSO
Propranolol,Propranolol hydrochloride,,TMT-NHSO
Nebilet,Nebivolol,Menarini,TMT-NHSO
Lasix,Furosemide,Sanofi,TMT-NHSO
Frusemide,Furosemide,,TMT-NHSO
HCTZ,Hydrochlorothiazide,,TMT-NHSO
Hydrochlorothiazide,Hydrochlorothiazide,,TMT-NHSO
Moduretic,Amiloride + Hydrochlorothiazide,,TMT-NHSO
Aldactone,Spironolactone,,TMT-NHSO
Spironolactone,Spironolactone,,TMT-NHSO
Inspra,Eplerenone,Pfizer,TMT-NHSO
Bumex,Bumetanide,,TMT-NHSO
Lipitor,Atorvastatin calcium,Pfizer,TMT-NHSO
Atorvastatin,Atorvastatin calcium,,TMT-NHSO
Crestor,Rosuvastatin calcium,AstraZeneca,TMT-NHSO
Rosuvastatin,Rosuvastatin calcium,,TMT-NHSO
Zocor,Simvastatin,MSD,TMT-NHSO
Simvastatin,Simvastatin,,TMT-NHSO
Pravachol,Pravastatin sodium,,TMT-NHSO
Lescol,Fluvastatin sodium,Novartis,TMT-NHSO
Ezetrol,Ezetimibe,MSD,TMT-NHSO
Zetia,Ezetimibe,,TMT-NHSO
Inegy,Ezetimibe + Simvastatin,MSD,TMT-NHSO
Vytorin,Ezetimibe + Simvastatin,,TMT-NHSO
Lipanthyl,Fenofibrate,Abbott,TMT-NHSO
Tricor,Fenofibrate,,TMT-NHSO
Bezafibrate,Bezafibrate,,TMT-NHSO
Gemfibrozil,Gemfibrozil,,TMT-NHSO
Lopid,Gemfibrozil,,TMT-NHSO
Repatha,Evolocumab,Amgen,TMT-NHSO
Praluent,Alirocumab,Sanofi,TMT-NHSO
Plavix,Clopidogrel bisulfate,Sanofi,TMT-NHSO
Clopidogrel,Clopidogrel bisulfate,,TMT-NHSO
Brilinta,Ticagrelor,AstraZeneca,TMT-NHSO
Effient,Prasugrel,Daiichi Sankyo,TMT-NHSO
Aspirin,Acetylsalicylic acid,,TMT-NHSO
Cardiprin,Acetylsalicylic acid,,TMT-NHSO
Aspilet,Acetylsalicylic acid,,TMT-NHSO
Xarelto,Rivaroxaban,Bayer,TMT-NHSO
Eliquis,Apixaban,Pfizer,TMT-NHSO
Pradaxa,Dabigatran etexilate,Boehringer Ingelheim,TMT-NHSO
Lixiana,Edoxaban,Daiichi Sankyo,TMT-NHSO
Warfarin,Warfarin sodium,,TMT-NHSO
Coumadin,Warfarin sodium,,TMT-NHSO
Marevan,Warfarin sodium,,TMT-NHSO
Clexane,Enoxaparin sodium,Sanofi,TMT-NHSO
Lovenox,Enoxaparin sodium,,TMT-NHSO
Fraxiparine,Nadroparin calcium,Aspen,TMT-NHSO
Heparin,Heparin sodium,,TMT-NHSO
Isoket,Isosorbide dinitrate,,TMT-NHSO
Isordil,Isosorbide dinitrate,,TMT-NHSO
Imdur,Isosorbide mononitrate,AstraZeneca,TMT-NHSO
Ismo,Isosorbide mononitrate,,TMT-NHSO
NTG,Nitroglycerin,,TMT-NHSO
Nitrostat,Nitroglycerin,,TMT-NHSO
Cordarone,Amiodarone hydrochloride,Sanofi,TMT-NHSO
Lanoxin,Digoxin,GSK,TMT-NHSO
Digoxin,Digoxin,,TMT-NHSO
Adenocor,Adenosine,,TMT-NHSO
Glucophage,Metformin hydrochloride,Merck,TMT-NHSO
Metformin,Metformin hydrochloride,,TMT-NHSO
Glumet,Metformin hydrochloride,,TMT-NHSO
Diaformin,Metformin hydrochloride,,TMT-NHSO
Amaryl,Glimepiride,Sanofi,TMT-NHSO
Glimepiride,Glimepiride,,TMT-NHSO
Diamicron,Gliclazide,Servier,TMT-NHSO
Gliclazide,Gliclazide,,TMT-NHSO
Minidiab,Glipizide,,TMT-NHSO
Glipizide,Glipizide,,TMT-NHSO
Januvia,Sitagliptin,MSD,TMT-NHSO
Galvus,Vildagliptin,Novartis,TMT-NHSO
Trajenta,Linagliptin,Boehringer Ingelheim,TMT-NHSO
Onglyza,Saxagliptin,AstraZeneca,TMT-NHSO
Nesina,Alogliptin,Takeda,TMT-NHSO
Forxiga,Dapagliflozin,AstraZeneca,TMT-NHSO
Jardiance,Empagliflozin,Boehringer Ingelheim,TMT-NHSO
Invokana,Canagliflozin,Johnson & Johnson,TMT-NHSO
Victoza,Liraglutide,Novo Nordisk,TMT-NHSO
Ozempic,Semaglutide,Novo Nordisk,TMT-NHSO
Trulicity,Dulaglutide,Eli Lilly,TMT-NHSO
Actos,Pioglitazone,,TMT-NHSO
Pioglitazone,Pioglitazone,,TMT-NHSO
Glucobay,Acarbose,Bayer,TMT-NHSO
Lantus,Insulin glargine,Sanofi,TMT-NHSO
Levemir,Insulin detemir,Novo Nordisk,TMT-NHSO
Tresiba,Insulin degludec,Novo Nordisk,TMT-NHSO
Toujeo,Insulin glargine U300,Sanofi,TMT-NHSO
NovoRapid,Insulin aspart,Novo Nordisk,TMT-NHSO
Humalog,Insulin lispro,Eli Lilly,TMT-NHSO
Apidra,Insulin glulisine,Sanofi,TMT-NHSO
NovoMix,Insulin aspart biphasic,Novo Nordisk,TMT-NHSO
Humulin,Insulin human,Eli Lilly,TMT-NHSO
Mixtard,Insulin human biphasic,Novo Nordisk,TMT-NHSO
Insulatard,Insulin human isophane,Novo Nordisk,TMT-NHSO
Actrapid,Insulin human soluble,Novo Nordisk,TMT-NHSO
Eltroxin,Levothyroxine sodium,,TMT-NHSO
Euthyrox,Levothyroxine sodium,Merck,TMT-NHSO
Synthroid,Levothyroxine sodium,,TMT-NHSO
PTU,Propylthiouracil,,TMT-NHSO
Neomercazole,Carbimazole,,TMT-NHSO
Prednisolone,Prednisolone,,TMT-NHSO
Solupred,Prednisolone,,TMT-NHSO
Dexamethasone,Dexamethasone,,TMT-NHSO
Solu-Medrol,Methylprednisolone sodium succinate,Pfizer,TMT-NHSO
Medrol,Methylprednisolone,Pfizer,TMT-NHSO
Depo-Medrol,Methylprednisolone acetate,Pfizer,TMT-NHSO
Hydrocortisone,Hydrocortisone,,TMT-NHSO
