icd_code,diagnosis_group,expected_diagnostics,conditional_diagnostics,unnecessary_diagnostics,max_diagnostic_count,clinical_pathway_source,notes
A90,dengue_fever,cbc;hematocrit;platelet_count;tourniquet_test;dengue_NS1_antigen,dengue_IgM_IgG(if_after_day5);liver_function_test(if_DHF_suspected);coagulation_panel(if_bleeding);blood_gas(if_shock);chest_xray(if_pleural_effusion_suspected);abdominal_ultrasound(if_plasma_leakage_assessment),mri_brain;colonoscopy;thyroid_function;tumor_markers;cardiac_enzymes(if_no_cardiac_symptoms),8,moph_thailand_dengue,WHO/Thai MoPH dengue DF pathway; repeat CBC/Hct daily during critical phase
A91,dengue_hemorrhagic_fever,cbc;hematocrit;platelet_count;tourniquet_test;dengue_NS1_antigen;liver_function_test;coagulation_panel,dengue_IgM_IgG(if_after_day5);blood_gas(if_shock);chest_xray(if_pleural_effusion_suspected);abdominal_ultrasound(if_plasma_leakage_assessment);blood_type_crossmatch(if_transfusion_needed);d_dimer(if_DIC_suspected),mri_brain;colonoscopy;thyroid_function;tumor_markers;cardiac_enzymes(if_no_cardiac_symptoms),12,moph_thailand_dengue,WHO/Thai MoPH dengue DHF/DSS pathway; serial Hct q4-6h in critical phase
A09,acute_gastroenteritis,cbc;electrolytes;bun_creatinine;stool_exam,stool_culture(if_bloody_diarrhea);blood_culture(if_sepsis_suspected);abdominal_xray(if_obstruction_suspected);c_diff_toxin(if_antibiotic_associated),ct_abdomen;colonoscopy;thyroid_function;tumor_markers;mri_brain,6,general,Focus on hydration status and electrolyte correction
A01.0,typhoid_fever,cbc;blood_culture;widal_test;liver_function_test,stool_culture(if_carrier_screening);urine_culture(if_urinary_symptoms);abdominal_ultrasound(if_hepatosplenomegaly);bone_marrow_culture(if_blood_culture_negative),mri_brain;colonoscopy;thyroid_function;tumor_markers;cardiac_enzymes,8,general,Blood culture gold standard; Widal test has limited sensitivity
A15,pulmonary_tuberculosis,chest_xray;sputum_AFB_smear;sputum_culture;cbc;esr,sputum_GeneXpert(if_MDR_suspected);liver_function_test(if_pre_treatment);hiv_test(if_unknown_status);ct_chest(if_smear_negative_suspected_TB);pleural_fluid_analysis(if_effusion),mri_brain;colonoscopy;tumor_markers;cardiac_enzymes;thyroid_function,8,general,Thai NTP guidelines; GeneXpert for drug resistance screening
A16,respiratory_tuberculosis_unspecified,chest_xray;sputum_AFB_smear;sputum_culture;cbc;esr,sputum_GeneXpert(if_MDR_suspected);liver_function_test(if_pre_treatment);hiv_test(if_unknown_status);ct_chest(if_diagnostic_uncertainty),mri_brain;colonoscopy;tumor_markers;cardiac_enzymes;thyroid_function,8,general,Same pathway as A15; unspecified bacteriology
B20,HIV_disease,cbc;cd4_count;hiv_viral_load;liver_function_test;renal_function;hbsag;anti_hcv;vdrl;chest_xray,sputum_AFB(if_TB_suspected);toxoplasma_IgG(if_neurological_symptoms);cryptococcal_antigen(if_cd4_below_100);cmv_antigen(if_retinitis_suspected);hla_b5701(if_abacavir_planned),thyroid_function(if_no_thyroid_symptoms);tumor_markers;colonoscopy;cardiac_enzymes,12,general,Thai NHSO ART guidelines; baseline pre-ART workup
B24,unspecified_HIV,cbc;cd4_count;hiv_viral_load;liver_function_test;renal_function;chest_xray,hbsag(if_coinfection_screening);anti_hcv(if_risk_factors);vdrl(if_STI_screening);sputum_AFB(if_pulmonary_symptoms),thyroid_function;tumor_markers;colonoscopy;cardiac_enzymes;mri_brain(if_no_neurological_symptoms),10,general,Initial workup for unspecified HIV; confirm and stage
B50,plasmodium_falciparum_malaria,thick_thin_blood_smear;malaria_RDT;cbc;bun_creatinine;blood_glucose;liver_function_test,blood_gas(if_severe_malaria);lactate(if_shock);coagulation_panel(if_bleeding);chest_xray(if_respiratory_distress);urinalysis(if_dark_urine_hemoglobinuria),mri_brain;colonoscopy;thyroid_function;tumor_markers;cardiac_enzymes,10,general,Thai MoPH malaria guidelines; assess for severe malaria criteria
B54,unspecified_malaria,thick_thin_blood_smear;malaria_RDT;cbc;bun_creatinine;blood_glucose,liver_function_test(if_jaundice);electrolytes(if_dehydrated);urinalysis(if_dark_urine),mri_brain;colonoscopy;thyroid_function;tumor_markers;cardiac_enzymes,7,general,Species identification critical for treatment selection
