icd_code,diagnosis_name,procedure_type,min_days,max_days,typical_days,notes,source
A90,Dengue fever (classic),InPatient,2,5,3,Uncomplicated dengue fever with warning signs requiring observation,WHO-Dengue-Guidelines-2009
A91,Dengue hemorrhagic fever,InPatient,3,7,5,DHF Grade I-II; critical phase lasts 24-48 hours around defervescence,WHO-Dengue-Guidelines-2009
A91,Dengue shock syndrome (DSS),InPatient,5,14,7,DHF Grade III-IV; ICU admission often required; fluid resuscitation critical,WHO-Dengue-Guidelines-2009
B18.1,Chronic hepatitis B,InPatient,3,7,5,Acute exacerbation or complications requiring admission,Thai-MoPH-Clinical-Guidelines
B20,HIV disease,InPatient,5,21,10,Opportunistic infection management; varies greatly by complication,Thai-MoPH-Clinical-Guidelines
E10,Type 1 diabetes mellitus,InPatient,2,7,4,DKA or severe hyperglycemia management,Thai-MoPH-NCD-Guidelines
E11,Type 2 diabetes mellitus,InPatient,2,7,3,Severe hyperglycemia or DKA; most management is outpatient,Thai-MoPH-NCD-Guidelines
E11.65,Type 2 diabetes with hyperglycemia,InPatient,2,5,3,DKA or severe hyperglycemia management,Thai-MoPH-NCD-Guidelines
G40,Epilepsy,InPatient,2,7,3,Status epilepticus or seizure cluster management,Thai-MoPH-Clinical-Guidelines
I10,Essential hypertension,InPatient,1,5,2,Hypertensive emergency/urgency; most management is outpatient,Thai-MoPH-NCD-Guidelines
I20,Angina pectoris,InPatient,2,7,4,Unstable angina workup and stabilization,Thai-MoPH-Clinical-Guidelines
I21,Acute myocardial infarction,InPatient,5,14,7,STEMI/NSTEMI; PCI or thrombolysis; CCU admission,Thai-MoPH-Clinical-Guidelines
I21.9,Acute MI unspecified,InPatient,5,14,7,Standard ACS protocol; CCU then step-down,Thai-MoPH-Clinical-Guidelines
I50,Heart failure,InPatient,3,10,5,Acute decompensated heart failure,Thai-MoPH-Clinical-Guidelines
I63,Cerebral infarction (stroke),InPatient,5,21,10,Acute ischemic stroke; includes rehabilitation phase,Thai-MoPH-Clinical-Guidelines
I64,Stroke not specified,InPatient,5,21,10,Includes hemorrhagic and ischemic; varies by severity,Thai-MoPH-Clinical-Guidelines
J00,Acute nasopharyngitis (common cold),OutPatient,0,0,0,Outpatient management only; no admission indicated,Thai-MoPH-Clinical-Guidelines
J06,Acute upper respiratory infection,OutPatient,0,0,0,Outpatient management; admission only if complications,Thai-MoPH-Clinical-Guidelines
J15,Bacterial pneumonia,InPatient,3,10,5,Moderate-severe CAP; IV antibiotics then step-down,Thai-MoPH-Clinical-Guidelines
J15.9,Bacterial pneumonia unspecified,InPatient,3,10,5,CAP requiring IV antibiotics,Thai-MoPH-Clinical-Guidelines
J18.9,Pneumonia unspecified,InPatient,3,10,5,Community-acquired pneumonia; uncomplicated cases 3-5 days,Thai-MoPH-Clinical-Guidelines
J44,COPD exacerbation,InPatient,3,10,5,Acute exacerbation requiring supplemental oxygen/nebulization,Thai-MoPH-NCD-Guidelines
J45,Asthma acute exacerbation,InPatient,1,5,2,Severe exacerbation; most managed in ED/observation,Thai-MoPH-Clinical-Guidelines
K21.0,Gastroesophageal reflux disease,OutPatient,0,0,0,Outpatient PPI therapy; admission only for complications,Thai-MoPH-Clinical-Guidelines
K25,Gastric ulcer,InPatient,2,7,3,Bleeding ulcer or perforation; uncomplicated is outpatient,Thai-MoPH-Clinical-Guidelines
K35,Acute appendicitis,InPatient,2,5,3,Post-appendectomy; uncomplicated laparoscopic 1-2 days,Thai-MoPH-Clinical-Guidelines
K35.80,Acute appendicitis unspecified,InPatient,2,5,3,Pre/post surgical; laparoscopic shorter stay,Thai-MoPH-Clinical-Guidelines
K40,Inguinal hernia,InPatient,1,3,1,Day surgery or 1-night stay for open repair,Thai-MoPH-Clinical-Guidelines
K80,Cholelithiasis,InPatient,2,5,3,Laparoscopic cholecystectomy; complicated cases longer,Thai-MoPH-Clinical-Guidelines
L03,Cellulitis,InPatient,3,7,5,IV antibiotics for moderate-severe; step-down to oral,Thai-MoPH-Clinical-Guidelines
M17,Gonarthrosis (knee OA),InPatient,5,10,7,Total knee replacement; includes initial rehabilitation,Thai-MoPH-Clinical-Guidelines
M54,Dorsalgia (back pain),OutPatient,0,0,0,Outpatient management; admission for severe radiculopathy only,Thai-MoPH-Clinical-Guidelines
N18,Chronic kidney disease,InPatient,3,10,5,Acute-on-chronic or dialysis initiation,Thai-MoPH-NCD-Guidelines
N39.0,Urinary tract infection,InPatient,2,5,3,Complicated UTI/pyelonephritis requiring IV antibiotics,Thai-MoPH-Clinical-Guidelines
O80,Single spontaneous delivery,InPatient,1,3,2,Normal vaginal delivery; uncomplicated,Thai-MoPH-Clinical-Guidelines
O82,Single delivery by caesarean section,InPatient,3,7,4,C-section; uncomplicated 3-4 days,Thai-MoPH-Clinical-Guidelines
