procedure_code,procedure_name,english_name,category,min_cost_thb,max_cost_thb,region,facility_tier,source
CON-001,การตรวจประเมินเพื่อวินิจฉัยโรค,Diagnostic evaluation and consultation,Consultation,150,150,northeast,public,MoPH-ServiceRateSchedule-2022
CON-002,การตรวจประเมินเพื่อออกเอกสารรับรอง ความพิการ,Disability certification evaluation,Consultation,100,100,northeast,public,MoPH-ServiceRateSchedule-2022
CON-003,การตรวจประเมินสมรรถภาพความพิการ แบบซับซ้อน,Complex disability functional assessment,Consultation,300,300,northeast,public,MoPH-ServiceRateSchedule-2022
CON-004,การประเมินสมรรถภาพและความพิการ (Functional assessment),Functional assessment,Consultation,100,100,northeast,public,MoPH-ServiceRateSchedule-2022
CON-005,การตรวจวินิจฉัยโดยจิตแพทย์ (Psychiatric Mental Status Determination),Psychiatric mental status determination,Consultation,15,15,northeast,public,MoPH-ServiceRateSchedule-2022
DX-001,ตรวจคลื่นไฟฟ้าสมอง Scalp E.E.G. (16 ช่อง),Scalp electroencephalogram (EEG) - 16 channels,Imaging,900,900,northeast,public,MoPH-ServiceRateSchedule-2022
DX-002,ตรวจคลื่นไฟฟ้าสมอง Scalp E.E.G (21 ช่อง),Scalp electroencephalogram (EEG) - 21 channels,Imaging,1800,1800,northeast,public,MoPH-ServiceRateSchedule-2022
DX-003,ตรวจคลื่นไฟฟ้าสมอง Scalp E.E.G (32 ช่อง),Scalp electroencephalogram (EEG) - 32 channels,Imaging,2500,2500,northeast,public,MoPH-ServiceRateSchedule-2022
IMG-001,ภาพถ่ายเอ็กซเรย์ทั่วไป,General X-ray,Imaging,170,170,northeast,public,MoPH-ServiceRateSchedule-2022
IMG-002,Mobile X-Rays,Mobile X-rays,Imaging,300,300,northeast,public,MoPH-ServiceRateSchedule-2022
IMG-003,TM joint,TM joint X-ray,Imaging,130,130,northeast,public,MoPH-ServiceRateSchedule-2022
IMG-004,Panoramic/Cephalometry,Panoramic/Cephalometry,Imaging,300,300,northeast,public,MoPH-ServiceRateSchedule-2022
IMG-005,Dental film,Dental film,Imaging,80,80,northeast,public,MoPH-ServiceRateSchedule-2022
IMG-006,Mass chest (small film),Mass chest X-ray (small film),Imaging,50,50,northeast,public,MoPH-ServiceRateSchedule-2022
IMG-007,Fluoroscopic observation,Fluoroscopic observation,Imaging,550,550,northeast,public,MoPH-ServiceRateSchedule-2022
LAB-001,CBC (+ diff. + RBC morphology + plt count) by automation,CBC (+ diff. + RBC morphology + platelet count) by automation,Laboratory,70,70,northeast,public,MoPH-ServiceRateSchedule-2022
LAB-002,"CBC (+ diff. + RBC morphology, platelet smear) Manual or Automation(Blood Indicies only)","CBC (+ diff. + RBC morphology, platelet smear) manual or automation (blood indices only)",Laboratory,60,60,northeast,public,MoPH-ServiceRateSchedule-2022
LAB-003,CBC - Automation(Blood Indices only),CBC - automation (blood indices only),Laboratory,70,70,northeast,public,MoPH-ServiceRateSchedule-2022
LAB-004,Hct (He matocrit),Hematocrit (Hct),Laboratory,30,30,northeast,public,MoPH-ServiceRateSchedule-2022
LAB-005,ESR (Erythrocyte Sedimentation Rate),Erythrocyte sedimentation rate (ESR),Laboratory,50,50,northeast,public,MoPH-ServiceRateSchedule-2022
LAB-006,Single blood bag(350ml) for blood letting,Single blood bag (350ml) for blood letting,Laboratory,50,50,northeast,public,MoPH-ServiceRateSchedule-2022
LAB-007,Urine Analysis (Physical+Chemical+Microscopic),Urine analysis (physical + chemical + microscopic),Laboratory,60,60,northeast,public,MoPH-ServiceRateSchedule-2022
LAB-008,Albumin,Albumin,Laboratory,10,10,northeast,public,MoPH-ServiceRateSchedule-2022
LAB-009,Stool concentration (Formalin -,Stool concentration (formalin),Laboratory,50,50,northeast,public,MoPH-ServiceRateSchedule-2022
LAB-010,"Occult blood, Stool","Occult blood, stool",Laboratory,30,30,northeast,public,MoPH-ServiceRateSchedule-2022
LAB-011,"Electrolyte (Na, K, Cl, CO2) -","Electrolyte panel (Na, K, Cl, CO2)",Laboratory,160,160,northeast,public,MoPH-ServiceRateSchedule-2022
LAB-012,Liver function test,Liver function test,Laboratory,280,280,northeast,public,MoPH-ServiceRateSchedule-2022
LAB-013,"Lipid profile (Cholesterol, HDL - chol, LDL","Lipid profile (cholesterol, HDL-cholesterol, LDL)",Laboratory,200,200,northeast,public,MoPH-ServiceRateSchedule-2022
LAB-014,Na,Sodium (Na),Laboratory,40,40,northeast,public,MoPH-ServiceRateSchedule-2022
LAB-015,K,Potassium (K),Laboratory,40,40,northeast,public,MoPH-ServiceRateSchedule-2022
LAB-016,Cl,Chloride (Cl),Laboratory,40,40,northeast,public,MoPH-ServiceRateSchedule-2022
LAB-017,CO2,Carbon dioxide (CO2),Laboratory,40,40,northeast,public,MoPH-ServiceRateSchedule-2022
LAB-018,Calc ium,Calcium,Laboratory,40,40,northeast,public,MoPH-ServiceRateSchedule-2022
LAB-019,Magnesium,Magnesium,Laboratory,50,50,northeast,public,MoPH-ServiceRateSchedule-2022
LAB-020,Zinc(Blood/Urine),Zinc (blood/urine),Laboratory,220,220,northeast,public,MoPH-ServiceRateSchedule-2022
LAB-021,Phosphorus,Phosphorus,Laboratory,50,50,northeast,public,MoPH-ServiceRateSchedule-2022
LAB-022,BUN (Blood Urea Nitrogen),Blood urea nitrogen (BUN),Laboratory,35,35,northeast,public,MoPH-ServiceRateSchedule-2022
LAB-023,Creatinine (Jaffe reaction),Creatinine (Jaffe reaction),Laboratory,35,35,northeast,public,MoPH-ServiceRateSchedule-2022
LAB-024,Creatinine (Enzymatic reaction),Creatinine (enzymatic reaction),Laboratory,40,40,northeast,public,MoPH-ServiceRateSchedule-2022
LAB-025,"Glucose(Blood,Urine,Other)","Glucose (blood, urine, other)",Laboratory,40,40,northeast,public,MoPH-ServiceRateSchedule-2022
LAB-026,Glucose (POCT),Glucose (point-of-care testing),Laboratory,40,40,northeast,public,MoPH-ServiceRateSchedule-2022
LAB-027,Uric acid,Uric acid,Laboratory,50,50,northeast,public,MoPH-ServiceRateSchedule-2022
LAB-028,"Bilirubin, Direct","Bilirubin, direct",Laboratory,40,40,northeast,public,MoPH-ServiceRateSchedule-2022
LAB-029,"Bilirubin, Total","Bilirubin, total",Laboratory,40,40,northeast,public,MoPH-ServiceRateSchedule-2022
LAB-030,"Bil irubin, Micro","Bilirubin, micro",Laboratory,40,40,northeast,public,MoPH-ServiceRateSchedule-2022
LAB-031,eGFR,Estimated glomerular filtration rate (eGFR),Laboratory,460,460,northeast,public,MoPH-ServiceRateSchedule-2022
LAB-032,Blood Ketone,Blood ketone,Laboratory,150,150,northeast,public,MoPH-ServiceRateSchedule-2022
