stt,category_code,category_name,disease_code,disease_name,icd_codes,max_prescription_days,circular_number,notes
1,CV,Cardiovascular,CV-01,Essential Hypertension,I10;I11;I12;I13;I15,90,NHSO-EDP-2016,Stable BP control required for 90-day dispensing under EDP
2,CV,Cardiovascular,CV-02,Heart Failure,I50;I50.0;I50.1;I50.9,90,NHSO-EDP-2016,NYHA Class I-II stable patients eligible for extended prescription
3,CV,Cardiovascular,CV-03,Ischemic Heart Disease,I20;I25;I25.1;I25.5;I25.9,90,NHSO-EDP-2016,Chronic stable angina and post-MI maintenance therapy
4,CV,Cardiovascular,CV-04,Dyslipidemia,E78;E78.0;E78.1;E78.2;E78.5,90,NHSO-EDP-2016,Statin and lipid-lowering therapy for chronic management
5,CV,Cardiovascular,CV-05,Atrial Fibrillation,I48;I48.0;I48.1;I48.2;I48.9,90,NHSO-EDP-2016,Rate/rhythm control and anticoagulation maintenance
6,CV,Cardiovascular,CV-06,Peripheral Vascular Disease,I73;I73.9;I70.2,90,NHSO-EDP-2016,Chronic PAD management including antiplatelet therapy
7,EN,Endocrine,EN-01,Type 2 Diabetes Mellitus,E11;E11.0;E11.2;E11.3;E11.4;E11.5;E11.9,90,NHSO-EDP-2016,Oral hypoglycemics and insulin for stable glycemic control; Take Medicine Near Home eligible
8,EN,Endocrine,EN-02,Type 1 Diabetes Mellitus,E10;E10.0;E10.2;E10.3;E10.9,90,NHSO-EDP-2016,Insulin-dependent; requires cold chain for 90-day supply
9,EN,Endocrine,EN-03,Hypothyroidism,E03;E03.1;E03.8;E03.9,90,NHSO-EDP-2016,Levothyroxine maintenance; stable TSH required
10,EN,Endocrine,EN-04,Hyperthyroidism,E05;E05.0;E05.8;E05.9,90,NHSO-EDP-2016,Antithyroid drug maintenance after initial dose stabilization
11,EN,Endocrine,EN-05,Hyperuricemia and Gout,M10;M10.0;M10.9;E79.0,90,NHSO-EDP-2016,Urate-lowering therapy for chronic gout prophylaxis
12,RS,Respiratory,RS-01,Asthma,J45;J45.0;J45.1;J45.2;J45.9,90,NHSO-EDP-2016,Inhaled corticosteroid and LABA maintenance; well-controlled patients
13,RS,Respiratory,RS-02,Chronic Obstructive Pulmonary Disease,J44;J44.0;J44.1;J44.8;J44.9,90,NHSO-EDP-2016,GOLD Group A-B stable COPD; inhaler maintenance therapy
14,RN,Renal,RN-01,Chronic Kidney Disease Stage 1-4,N18;N18.1;N18.2;N18.3;N18.4;N18.9,90,NHSO-EDP-2016,Pre-dialysis CKD management including RAAS inhibitors and phosphate binders
15,RN,Renal,RN-02,Chronic Kidney Disease Stage 5 (non-dialysis),N18.5,90,NHSO-EDP-2016,Conservative management for non-dialysis CKD5; erythropoietin excluded from EDP
16,NR,Neurological,NR-01,Epilepsy,G40;G40.0;G40.1;G40.2;G40.3;G40.8;G40.9,90,NHSO-EDP-2016,Antiepileptic drugs; some Schedule II psychotropics require Narcotics-Code-BE2567 permit
17,NR,Neurological,NR-02,Parkinson Disease,G20;G20.9,90,NHSO-EDP-2016,Dopaminergic therapy maintenance for stable motor symptoms
18,NR,Neurological,NR-03,Alzheimer Disease and Dementia,G30;G30.0;G30.1;G30.9;F00;F03,90,NHSO-EDP-2016,Cholinesterase inhibitors and memantine for stable patients
19,NR,Neurological,NR-04,Migraine Prophylaxis,G43;G43.0;G43.1;G43.9,90,NHSO-EDP-2016,Chronic migraine prophylaxis (beta-blockers
20,PS,Psychiatric,PS-01,Major Depressive Disorder,F32;F33;F32.0;F32.1;F33.0;F33.1,90,Narcotics-Code-BE2567,SSRIs/SNRIs non-controlled; tricyclics may require permit; 2024 update allows 90-day psychotropic dispensing
21,PS,Psychiatric,PS-02,Generalized Anxiety Disorder,F41;F41.0;F41.1;F41.9,90,Narcotics-Code-BE2567,Benzodiazepines (Schedule IV) limited to 30 days standard; SSRIs 90 days under EDP
22,PS,Psychiatric,PS-03,Schizophrenia,F20;F20.0;F20.1;F20.3;F20.5;F20.9,90,NHSO-EDP-2016,Atypical antipsychotics for stable maintenance; LAI injections managed separately
23,PS,Psychiatric,PS-04,Bipolar Disorder,F31;F31.0;F31.1;F31.3;F31.7;F31.9,90,Narcotics-Code-BE2567,Mood stabilizers (lithium
24,RH,Rheumatologic,RH-01,Rheumatoid Arthritis,M05;M05.0;M05.8;M06;M06.0;M06.9,90,NHSO-EDP-2016,DMARDs maintenance (methotrexate
25,RH,Rheumatologic,RH-02,Systemic Lupus Erythematosus,M32;M32.1;M32.8;M32.9,90,NHSO-EDP-2016,Hydroxychloroquine and immunosuppressant maintenance for stable disease
26,RH,Rheumatologic,RH-03,Osteoporosis,M80;M81;M80.0;M81.0;M81.8,90,NHSO-EDP-2016,Bisphosphonates
27,HIV,HIV/AIDS,HIV-01,HIV Infection,B20;B21;B22;B23;B24;Z21,90,NHSO-EDP-2016,ART maintenance for virally suppressed patients; NHSO covers all ARV regimens under UCS
28,HIV,HIV/AIDS,HIV-02,HIV with Opportunistic Infection Prophylaxis,B20;Z21,90,NHSO-EDP-2016,Cotrimoxazole and fluconazole prophylaxis for eligible CD4 thresholds
29,HP,Hepatic,HP-01,Chronic Hepatitis B,B18.1;B18.0,90,NHSO-EDP-2016,Tenofovir/entecavir antiviral maintenance; NHSO expanded HBV coverage 2022
30,HP,Hepatic,HP-02,Chronic Hepatitis C (post-treatment maintenance),B18.2,90,NHSO-EDP-2016,SVR monitoring phase; DAA treatment managed via hospital; post-cure follow-up medications
31,GI,Gastrointestinal,GI-01,Chronic GERD,K21;K21.0;K21.9,90,NHSO-EDP-2016,PPI maintenance therapy for refractory or recurrent gastroesophageal reflux
32,GI,Gastrointestinal,GI-02,Inflammatory Bowel Disease,K50;K50.9;K51;K51.9,90,NHSO-EDP-2016,5-ASA and immunomodulator maintenance for Crohn disease and ulcerative colitis
33,CV,Cardiovascular,CV-07,Cerebrovascular Disease (Post-stroke),I63;I63.9;I69;I69.3,90,NHSO-EDP-2016,Secondary prevention: antiplatelets
34,EN,Endocrine,EN-06,Adrenal Insufficiency,E27;E27.1;E27.4,90,Thai-Drug-Act-BE2510,Hydrocortisone/fludrocortisone replacement; stable dose maintenance
35,NR,Neurological,NR-05,Neuropathic Pain (Chronic),G62;G63;G60.9,90,NHSO-EDP-2016,Gabapentinoids and antidepressants for chronic neuropathy; pregabalin Schedule IV per Narcotics-Code-BE2567
36,RS,Respiratory,RS-03,Chronic Bronchial Asthma,J45.0;J45.1;J45.8;J45.9,90,NHSO-EDP-2016,Step-down therapy assessment required every 3-6 months; inhaler technique must be verified
37,RS,Respiratory,RS-04,Chronic Obstructive Pulmonary Disease,J44.0;J44.1;J44.8;J44.9,90,NHSO-EDP-2016,Stable COPD patients on LAMA/LABA maintenance; oxygen therapy managed separately
38,PS,Psychiatric,PS-05,Generalized Anxiety Disorder,F41.1,90,NHSO-EDP-2016,Long-term SSRI/SNRI maintenance; benzodiazepines limited to 30-day supply per narcotic regulations
39,NR,Neurological,NR-06,Epilepsy and Recurrent Seizures,G40.0;G40.1;G40.2;G40.3;G40.9,90,NHSO-EDP-2016,Patients seizure-free for >6 months; drug level monitoring as clinically indicated
40,RH,Rheumatology,RH-04,Systemic Lupus Erythematosus,M32.1;M32.8;M32.9,60,NHSO-EDP-2016,Limited to 60 days due to required laboratory monitoring of organ involvement and toxicity
41,RH,Rheumatology,RH-05,Rheumatoid Arthritis,M05.0;M05.3;M06.0;M06.9,90,NHSO-EDP-2016,Stable DMARDs maintenance; biologics restricted to specialist prescription only
42,HP,Hepatology,HP-03,Chronic Viral Hepatitis B,B18.0;B18.1,90,NHSO-EDP-2016,Nucleoside/nucleotide analog maintenance for stable viral suppression
43,NR,Neurological,NR-07,Parkinson's Disease,G20,90,NHSO-EDP-2016,Dopaminergic therapy for idiopathic Parkinsonism; monitoring for motor fluctuations required
44,CV,Cardiovascular,CV-08,Stable Heart Failure,I50.0;I50.1;I50.9,90,NHSO-EDP-2016,NYHA Class I-II on stable ACEI/Beta-blocker/MRA regimen
45,PS,Psychiatric,PS-06,Major Depressive Disorder (Recurrent),F33.0;F33.1;F33.2;F33.4;F33.9,90,NHSO-EDP-2016,Maintenance phase treatment; clinical suicide risk assessment required at each refill
46,MB,Metabolic and Endocrine,MB-01,Type 1 Diabetes Mellitus without Complications,E10.9,90,NHSO-EDP-2016,Stable glycemic control required for 90-day dispensing
47,MB,Metabolic and Endocrine,MB-02,Type 1 Diabetes Mellitus with Kidney Complications,E10.2;N08.3,90,NHSO-EDP-2016,Requires regular monitoring of renal function and proteinuria
48,MB,Metabolic and Endocrine,MB-03,Type 1 Diabetes Mellitus with Ophthalmic Complications,E10.3;H36.0,90,NHSO-EDP-2016,Annual fundus examination mandatory for long-term prescription
49,MB,Metabolic and Endocrine,MB-04,Type 1 Diabetes Mellitus with Neurological Complications,E10.4;G63.2,90,NHSO-EDP-2016,Assessment of peripheral neuropathy at each refill session
50,MB,Metabolic and Endocrine,MB-05,Type 1 Diabetes Mellitus with Peripheral Circulatory Complications,E10.5,90,NHSO-EDP-2016,Includes diabetic gangrene and peripheral angiopathy management
51,MB,Metabolic and Endocrine,MB-06,Type 2 Diabetes Mellitus without Complications,E11.9,90,NHSO-EDP-2016,First-line oral hypoglycemic agents for stable outpatients
52,MB,Metabolic and Endocrine,MB-07,Type 2 Diabetes Mellitus with Kidney Complications,E11.2;N08.3,90,NHSO-EDP-2016,Dose adjustment required based on eGFR for metformin and SGLT2i
53,MB,Metabolic and Endocrine,MB-08,Type 2 Diabetes Mellitus with Ophthalmic Complications,E11.3;H36.0,90,NHSO-EDP-2016,Diabetic retinopathy maintenance treatment
54,MB,Metabolic and Endocrine,MB-09,Type 2 Diabetes Mellitus with Neurological Complications,E11.4;G63.2,90,NHSO-EDP-2016,Management of diabetic polyneuropathy or autonomic neuropathy
55,MB,Metabolic and Endocrine,MB-10,Type 2 Diabetes Mellitus with Peripheral Circulatory Complications,E11.5,90,NHSO-EDP-2016,Routine foot inspection required for patients on long-term refill
56,MB,Metabolic and Endocrine,MB-11,Type 2 Diabetes Mellitus with Multiple Complications,E11.7,60,NHSO-EDP-2016,Reduced refill duration for complex multi-organ involvement
57,MB,Metabolic and Endocrine,MB-12,Type 2 Diabetes Mellitus with Other Specified Complications,E11.6,90,NHSO-EDP-2016,Includes diabetic arthropathy and other metabolic manifestations
58,MB,Metabolic and Endocrine,MB-13,Malnutrition-related Diabetes Mellitus,E12;E12.0;E12.9,60,NHSO-EDP-2016,Close nutritional monitoring required during pharmacotherapy
59,MB,Metabolic and Endocrine,MB-14,Other Specified Diabetes Mellitus,E13;E13.9,90,NHSO-EDP-2016,Secondary diabetes or genetic defects of beta-cell function
60,MB,Metabolic and Endocrine,MB-15,Unspecified Diabetes Mellitus,E14;E14.9,90,NHSO-EDP-2016,Used for chronic management when specific type is being clarified
