icd_code,diagnosis_group,expected_drug_classes,red_flag_drugs,max_drug_count,notes
A90,dengue_fever,oral_rehydration;antipyretics(paracetamol);IV_crystalloids(NSS_or_Ringers_Lactate),aspirin;NSAIDs;ibuprofen;corticosteroids(unless_shock);antibiotics(unless_secondary_infection),5,Thai_MOH_and_WHO_dengue_guidelines;paracetamol_only_for_fever;monitor_hematocrit
A91,dengue_hemorrhagic_fever,IV_crystalloids(NSS_or_Ringers_Lactate);colloids(dextran_or_gelatin);antipyretics(paracetamol);platelet_transfusion(if_critical);oral_rehydration,aspirin;NSAIDs;ibuprofen;IM_injections;corticosteroids(unless_DSS),8,Thai_MOH_DHF_protocol;fluid_resuscitation_critical;avoid_IM_injections_due_to_bleeding_risk
A09,acute_gastroenteritis,oral_rehydration_salts;IV_fluids;antiemetics(ondansetron_or_domperidone);antidiarrheals(smectite);probiotics;zinc(pediatric),opioid_antidiarrheals(in_children);antibiotics(unless_bacterial_confirmed),6,ORS_first_line_per_Thai_pediatric_guidelines;zinc_for_children_under_5
A01.0,typhoid_fever,fluoroquinolones(ciprofloxacin_or_ofloxacin);cephalosporins(ceftriaxone);azithromycin;antipyretics(paracetamol);IV_fluids,chloramphenicol(resistance_common_in_Thailand);ampicillin(if_resistant),5,MDR_typhoid_prevalent_in_Thailand;culture_sensitivity_required
A15,pulmonary_tuberculosis,isoniazid;rifampicin;pyrazinamide;ethambutol;pyridoxine(B6),fluoroquinolones(as_monotherapy);corticosteroids(unless_TB_meningitis_or_pericarditis),6,Thai_National_TB_Program_DOTS_protocol;4_drug_intensive_phase_2_months
A16,respiratory_tuberculosis_unspecified,isoniazid;rifampicin;pyrazinamide;ethambutol;pyridoxine(B6),fluoroquinolones(as_monotherapy),6,follow_Thai_NTP_guidelines;confirm_with_sputum_AFB_and_culture
B20,HIV_disease,NRTIs(tenofovir_plus_emtricitabine);NNRTIs(efavirenz);integrase_inhibitors(dolutegravir);protease_inhibitors(lopinavir_ritonavir),nephrotoxic_agents_with_tenofovir;St_Johns_Wort,6,Thai_national_ART_guidelines;dolutegravir_preferred_first_line_since_2019
B24,unspecified_HIV,NRTIs(tenofovir_plus_emtricitabine);NNRTIs(efavirenz);integrase_inhibitors(dolutegravir);cotrimoxazole_prophylaxis,nephrotoxic_agents_with_tenofovir,6,Thai_Red_Cross_and_MOPH_guidelines;OI_prophylaxis_if_CD4_below_200
B50,plasmodium_falciparum_malaria,artemisinin_combination_therapy(ACT);artesunate_plus_mefloquine;primaquine(gametocytocidal);antipyretics(paracetamol),chloroquine(P_falciparum_resistant_in_Thailand);mefloquine_monotherapy,5,Thai_border_areas_artemisinin_resistance_concern;follow_Thai_MOPH_malaria_protocol
B54,unspecified_malaria,antimalarials(ACT_or_chloroquine_per_species);antipyretics(paracetamol);IV_artesunate(severe_cases),chloroquine(if_P_falciparum);quinine_monotherapy,5,species_identification_critical;Thai_border_malaria_clinics_protocol
E10,type_1_diabetes,insulin(basal_bolus_or_premixed);metformin(if_insulin_resistant);SGLT2_inhibitors;ACE_inhibitors(renal_protection);statins,sulfonylureas(monotherapy);thiazolidinediones(heart_failure_risk),8,Thai_DM_clinical_practice_guidelines;HbA1c_target_below_7_percent
