expected_class,drug_category_patterns,notes
5_ASA,,mesalazine/sulfasalazine for IBD
5_alpha_reductase_inhibitors,,finasteride/dutasteride
ACE_inhibitors,,matches both single and combination
ACE_inhibitors_or_ARBs,,either class acceptable
ACEi_plus_ARB_combination,,red flag combination
ARNI,,sacubitril/valsartan classified under ARB
ARBs,,
CCBs,,
CGRP_antagonists,,erenumab/fremanezumab
COMT_inhibitors,,entacapone/tolcapone
DMARDs,,
DPP4_inhibitors,,DPP-4 inhibitor subclass
ESAs,,erythropoiesis-stimulating agents (alias)
GLP1_agonists,,liraglutide/semaglutide/dulaglutide
GnRH_agonists,,leuprolide/goserelin
H2_blockers,,ranitidine/famotidine
H_pylori_eradication,,triple/quadruple therapy
IVIG,,immunoglobulin - no exact category match
IV_antibiotics,,parenteral antibiotics
IV_artesunate,,severe malaria
IV_dextrose,,
IV_methylprednisolone,,IV pulse steroid
IV_steroids,,parenteral corticosteroids
LABA,,long-acting beta agonist
MAO_B_inhibitors,,selegiline/rasagiline
MRAs,,spironolactone/eplerenone
NNRTIs,,non-nucleoside reverse transcriptase inhibitors
NRTIs,,nucleoside reverse transcriptase inhibitors
NSAIDs,,includes selective COX-2
PCSK9_inhibitors,,evolocumab/alirocumab
PDE5_inhibitors,,sildenafil/tadalafil
PPIs,,includes vonoprazan
SABA,,short-acting beta agonist (salbutamol)
SGLT2_inhibitors,,dapagliflozin/empagliflozin
SNRIs,,venlafaxine/duloxetine
SSRIs,,fluoxetine/sertraline/escitalopram
St_Johns_Wort,,herbal antidepressant
acetic_acid_drops,,ear drops
albumin,,plasma expander
allopurinol,,xanthine oxidase inhibitor
alpha_blockers,,tamsulosin/doxazosin
amantadine,,dual classification
aminoglycosides,,gentamicin/amikacin
amiodarone,,antiarrhythmic class III
amphotericin_B,,systemic antifungal
ampicillin,,aminopenicillin
analgesics,,general pain relief
antacids,,aluminum/magnesium hydroxide
antibiotics,,all antibiotic classes
anticholinergics,,oxybutynin/ipratropium
anticoagulant,,matches injectable and oral
anticoagulants,,matches injectable and oral
anticonvulsants,,alias for antiepileptics
antidepressant_monotherapy,,single antidepressant
antidiarrheals,,loperamide
antiemetics,,ondansetron/metoclopramide
antiepileptics,,
antifibrotics,,pirfenidone/nintedanib (closest match)
antifungals,,
antihistamines,,
antihistamine_eye_drops,,topical ocular antihistamines
antihypertensives,,any antihypertensive class
antimalarials,,chloroquine/mefloquine/artemisinin
antiparasitics,,broader antiparasitic class
antiplatelet,,aspirin/clopidogrel/ticagrelor
antipsychotics,,
antipyretics,,paracetamol/ibuprofen
antispasmodics,,hyoscine/mebeverine
antithyroid_drugs,,carbimazole/methimazole (no exact category)
antiviral,,
antivirals,,
artemisinin_combination_therapy,,ACT for malaria
artificial_tears,,
aspirin,,dual classification
aspirin_low_dose,,antiplatelet dose
atenolol,,specific beta-blocker
atypical_antipsychotics,,
azithromycin,,
